order_id,order_date,customer_id,customer_email,product_sku,quantity,unit_price,region,order_status,discount_pct,total_revenue
ORD-00020,1/20/2024,CUST-230,user19@example.com,SKU-A1,1,,south ,pending,0.37,16093.01
ORD-00021,1/21/2024,CUST-761,user20@example.com,SKU-D4,8,220.05,south ,cancelled,0.12,13164.8
ORD-00022,1/22/2024,CUST-408,user21@example.com,SKU-A1,46,999999,NORTH,COMPLETED,0.06,18292.42
ORD-00023,1/23/2024,CUST-869,user22@example.com,SKU-A1,16,205.58,south ,completed,0.18,2049.93
ORD-00024,1/24/2024,CUST-443,user23@example.com,SKU-C3,14,287.88,East,unknown,0.14,1518.2
ORD-00025,1/25/2024,CUST-591,user24@example.com,SKU-B2,12,371.78,,cancelled,0.15,6185.11
ORD-00026,1/26/2024,CUST-513,@nodomain.com,SKU-B2,23,384.76,NORTH,pending,0.12,3997.02
ORD-00027,1/27/2024,CUST-905,user26@example.com,SKU-A1,15,412.28,East,pending,0.02,21795.87
ORD-00028,1/28/2024,,user27@example.com,SKU-D4,28,373.38,East,cancelled,0.01,5488.16
ORD-00029,1/29/2024,,user28@example.com,SKU-B2,34,342.11,North,pending,0.49,24396.87
ORD-00030,1/30/2024,CUST-376,user29@example.com,SKU-D4,2,122.57,south ,COMPLETED,0.21,8429.03
ORD-00031,1/31/2024,CUST-260,user30@example.com,SKU-B2,32,203.11,South,completed,0.19,4561.13
ORD-00032,2/1/2024,CUST-559,user31@example.com,SKU-D4,23,241.47,South,COMPLETED,0.34,19744.57
ORD-00033,2/2/2024,CUST-413,user32@example.com,SKU-C3,22,46.03,NORTH,pending,0.11,16471.11
ORD-00034,2/3/2024,,user33@example.com,SKU-D4,25,266.54,South,unknown,0.47,12459.91
ORD-00035,2/4/2024,CUST-352,user34@example.com,SKU-C3,22,220.99,West,completed,0.39,13888.54
ORD-00036,2/5/2024,CUST-847,spaces in@x.com,SKU-C3,22,402.04,South,completed,0.04,17982.85
ORD-00037,2/6/2024,CUST-956,user36@example.com,SKU-D4,49,489.06,NORTH,cancelled,0.21,5719.08
ORD-00038,2/7/2024,CUST-660,user37@example.com,SKU-C3,42,280.22,South,cancelled,0.44,24908.38
ORD-00039,2/8/2024,,user38@example.com,SKU-A1,6,164.73,West,unknown,0.47,24370.08
ORD-00040,2/9/2024,CUST-158,user39@example.com,SKU-C3,15,26.48,North,completed,0.23,16261.64
ORD-00041,2/10/2024,CUST-610,user40@example.com,SKU-B2,43,462.7,NORTH,unknown,0.31,4996.57
ORD-00042,2/11/2024,CUST-781,user41@example.com,SKU-D4,37,459.96,North,cancelled,0.08,17008.9
ORD-00043,2/12/2024,CUST-575,user42@example.com,SKU-A1,,130.23,North,cancelled,0.5,1814.24
ORD-00044,2/13/2024,CUST-799,user43@example.com,SKU-D4,8,349.23,North,completed,0.12,776.01
ORD-00045,2/14/2024,CUST-882,user44@example.com,SKU-B2,44,42.34,East,COMPLETED,0.47,6449.5
ORD-00046,2/15/2024,CUST-289,user45@example.com,SKU-B2,44,87.28,south ,pending,0.32,11570.95
ORD-00047,2/16/2024,CUST-786,user46@example.com,SKU-B2,5,112.32,East,cancelled,0.3,21708.13
ORD-00048,2/17/2024,,user47@example.com,SKU-C3,39,150.77,south ,cancelled,0.26,18181.96
ORD-00049,2/18/2024,CUST-975,user48@example.com,SKU-C3,4,497.94,North,COMPLETED,0.12,18570.24
ORD-00050,2/19/2024,CUST-666,user49@example.com,SKU-D4,6,349.98,NORTH,COMPLETED,0.09,10643.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
